Accession,Organism_Name,Release_Date,Nuc_Completeness,Segment,Country,Collection_Date
MN530638,Influenza A virus,2019-12-01,partial,6,South Korea,2007-03-13
HQ237916,Influenza A virus (A/canine/NY/dog1c19/2009(H3N8)),2010-10-02,partial,4,USA,2009-03
CY120370,Influenza A virus (A/Hong Kong/H090-759-V10/2009(H1N1)),2012-05-29,partial,3,Hong Kong,2009-07-30
DQ992759,Influenza A virus (A/chicken/Guiyang/3721/2005(H5N1)),2006-10-27,partial,,China,
KX002297,Influenza B virus (B/Idaho/21/2015),2016-05-21,partial,5,USA,2015-05-27
PQ263122,Influenza A virus,2024-08-30,partial,2,USA,2024-03-07
MN988211,Influenza A virus,2020-05-31,partial,1,USA,2018-09-10
AB745194,Influenza A virus (A/Tottori/ST331/2009(H1N1)),2012-09-01,partial,4,Japan,2009-11
MF146264,Influenza A virus (A/mallard duck/Sweden/139703/2012(H15N5)),2017-06-17,partial,7,Sweden,2012-12-01
CY102468,Influenza A virus (A/shorebird/Delaware Bay/204/1999(mixed)),2011-11-16,partial,5,USA,1999-05-24
KY926073,Influenza A virus (A/Venancio Aires/LACENRS-1539/2009(H1N1)),2017-05-15,partial,3,Brazil,2009-08-13
PQ328783,Influenza A virus,2024-09-16,partial,3,USA,2024-07-29
GQ414877,Influenza A virus (A/duck/Korea/A56/2009(H6N2)),2009-12-29,partial,5,South Korea,2009-03
MW848716,Influenza A virus,2021-10-30,partial,3,Spain,2020-04-15
OR745740,Influenza A virus,2023-11-04,partial,8,USA,2023-06-24
PV122908,Influenza A virus,2025-02-14,partial,2,USA,2024-12-11
PQ265514,Influenza A virus,2024-08-30,partial,3,USA,2024-02-19
KR073506,Influenza B virus (B/Malaysia/U159/2012),2015-09-08,partial,6,Malaysia,2012-03-21
MH620511,Influenza A virus,2018-07-20,partial,7,USA,2018-02-07
MK536531,Influenza A virus,2019-02-24,partial,7,USA,2017-06-01
EU124168,Influenza A virus (A/Chicken/Vietnam/Long An 636/2005(H5N1)),2007-09-11,partial,4,Viet Nam,2005-11-21
MW110070,Influenza A virus,2020-10-19,partial,2,China,2017-07-02
CY205428,Influenza A virus (A/green-winged teal/Texas/AI11-4019/2011(H3N6)),2016-04-11,partial,8,USA,2011-09-16
MN209475,Influenza A virus,2019-07-28,partial,8,Bangladesh,2018-10-30
CY205966,Influenza A virus (A/blue-winged teal/Texas/AI11-3387/2011(H3N6)),2016-04-11,partial,5,USA,2011-09-18
FN399926,Influenza A virus (A/equine/Newmarket/1/1993(H3N8)),2010-05-13,partial,4,,
MK912694,Influenza A virus,2019-05-18,partial,4,Italy,2019-02-21
MW106498,Influenza A virus,2020-10-19,partial,6,China,2017-06-26
MW098293,Influenza A virus,2020-10-19,partial,4,China,2018-05-28
CY040277,Influenza A virus (A/Managua/4924.01/2008(H1N1)),2009-05-18,partial,5,Nicaragua,2008-10-06
KM609803,Influenza A virus (A/chicken/Shandong/yt0106/2012(H9N2)),2015-02-05,complete,2,China,2012-01-06
AF180599,Influenza A virus (A/Colombia/170/96(H3N2)),1999-12-10,partial,,Colombia,
PQ690640,Influenza A virus,2024-12-06,partial,8,USA,2019-03-24
CY043084,Influenza A virus (A/Brawley/40081/2009(H1N1)),2009-07-24,partial,2,USA,2009-04-22
KF216855,Influenza B virus (B/Minnesota/03/2013),2013-06-23,partial,4,USA,2013-03-25
PV152872,Influenza A virus,2025-02-20,partial,7,USA,2023-12-10
KM267908,Influenza A virus (A/swine/France/22-130212/2013(H1N2)),2016-08-05,partial,1,France,2013-06-05
EU301399,Influenza A virus (A/duck/Korea/LPM92/2006(H3N2)),2008-01-30,partial,3,South Korea,
OQ247175,Influenza A virus,2023-01-18,partial,5,USA,2022-11-07
MN004149,Influenza A virus,2019-06-05,partial,7,USA,2019-03-13
CY122150,Influenza A virus (A/mallard/Sweden/53/2003(H2N3)),2012-06-25,partial,5,Sweden,2003
OQ534920,Influenza A virus,2023-03-04,partial,2,USA,2022-05-16
CY092214,Influenza A virus (A/Georgia/NHRC0001/2003(H3N2)),2011-06-17,partial,3,USA,2003-12-05
GQ497125,Influenza A virus (A/chicken/Iran/284/2002(H9N2)),2009-09-30,partial,4,Iran,2002-08-13
KY044687,Influenza A virus (A/Alabama/01/2016(H1N1)),2016-11-05,partial,4,USA,2016-01-11
OQ291956,Influenza A virus,2023-05-31,partial,3,China,2022-03-06
MW625985,Influenza B virus,2021-02-23,partial,8,USA,2020-03-16
KT429552,Influenza A virus (A/chicken/Egypt/BSU-NLQP-DAK-1/2009(H5N1)),2015-09-14,partial,4,Egypt,2009-01-04
CY101215,Influenza A virus (A/ruddy turnstone/Delaware Bay/215/1996(mixed)),2011-11-16,partial,5,USA,1996-05-15
MG978599,Influenza A virus,2018-02-27,partial,7,USA,2017-11-18
OR746066,Influenza A virus,2023-11-04,partial,6,USA,2023-03-28
MN568313,Influenza A virus,2019-10-21,partial,6,Australia,2018-09-02
CY235129,Influenza A virus (A/cinnamon teal/Idaho/UGAI16-1881/2016(H4N6)),2017-07-06,partial,1,USA,2016-08-16
OZ176947,Influenza A virus,2024-08-28,partial,2,Switzerland,2024-04-02
KY751036,Influenza A virus (A/chicken/Jiangsu/JT119/2015(H7N9)),2018-02-20,partial,4,China,2015-03-16
KC738545,Influenza A virus (A/Taiwan/24/2003(H3N2)),2013-04-26,partial,3,Taiwan,2003-01-19
MH127281,Influenza A virus,2018-04-01,partial,4,USA,2018-02-05
CY234477,Influenza A virus (A/Maryland/33/2017(H3N2)),2017-06-16,partial,7,USA,2017-04-15
CY108206,Influenza A virus (A/Shanghai/13/1989(H3N2)),2012-03-21,partial,4,China,1989
KP461574,Influenza B virus (B/Pune/059712/2005),2015-06-01,partial,4,India,2005-10-10
KT840911,Influenza A virus (A/Vermont/12/2014(H3N2)),2015-10-11,partial,7,USA,2014-12-11
PQ832938,Influenza A virus,2025-01-03,partial,1,USA,2024-12-06
CY205504,Influenza A virus (A/blue-winged teal/Texas/UGAI14-3653/2014(mixed)),2016-04-11,partial,2,USA,2014-09-17
MG984011,Influenza A virus,2018-03-01,partial,7,China,2017-11-01
OQ460798,Influenza A virus,2023-02-26,partial,5,USA,2022-11-04
CY098120,Influenza A virus (A/Bangkok/INS486/2010(H1N1)),2011-08-29,partial,2,Thailand,2010-08-18
HQ200504,Influenza A virus (A/duck/Cambodia/D4KC167/2006(H5N1)),2010-09-14,partial,4,Cambodia,2006-08
GN358235,Influenza B virus (B/Memphis/12/97-MA),2009-05-12,partial,,,
KM185926,Influenza A virus (A/swine/Indiana/13TOSU5147/2013(H3N2)),2014-08-09,partial,6,USA,2013-08-31
AB478036,Influenza A virus (A/chicken/Hmawbi/517/2007(H5N1)),2012-12-26,partial,7,Myanmar,2007
HE968823,Influenza A virus (A/equine/United Kingdom/307476/2003(H3N8)),2012-12-20,partial,,United Kingdom,2003-04-01
JX625706,Influenza A virus (A/England/209/2010(H1N1)),2012-11-30,partial,8,United Kingdom,2010-11-28
MF768655,Influenza A virus (A/Jeddah/KFAFH1850/2015(H1N1)),2017-09-23,partial,8,Saudi Arabia,2015-11-07
HB373116,Influenza A virus,2009-06-09,partial,,,
AY060111,Influenza A virus (A/SW/MO/1877/01(H1N2)),2001-12-01,partial,,,
MF600403,Influenza A virus (A/Pavia/25/2011(H1N1)),2017-09-02,partial,8,Italy,2011-01
PQ373629,Influenza A virus,2024-09-25,partial,2,USA,2024-06-09
HB379894,Influenza A virus,2009-06-09,partial,,,
PQ446207,Influenza A virus,2024-10-09,partial,2,USA,2024-03-14
PP279419,Influenza A virus,2024-02-11,partial,8,Germany,2023-12-26
EU502145,Influenza A virus (A/Brazil/BR-IAL-1499/2005(H3N2)),2008-04-26,partial,4,Brazil,2005-06-16
PQ070771,Influenza A virus,2024-07-30,partial,7,USA,2024-06-21
OP510366,Influenza A virus,2022-09-28,partial,4,USA,2022-03-21
CY186605,Influenza A virus (A/redhead/Ohio/13OS0431/2013(H1N2)),2014-05-09,partial,3,USA,2013-02-09
OQ054027,Influenza A virus,2022-12-20,partial,5,China,2019-01-01
PQ694236,Influenza A virus,2024-12-06,partial,8,USA,2020-01-06
CY190945,Influenza A virus (A/environment/Maryland/09OS1317/2009(H4N6)),2015-05-04,partial,2,USA,2009-08-24
PQ797732,Influenza A virus,2024-12-23,partial,7,USA,2024-10-25
FJ520050,Influenza A virus (A/northern pintail/California/44242-711/2006(H3N6)),2009-05-04,partial,3,USA,2006-08-29
PV099947,Influenza A virus,2025-02-12,partial,4,USA,2025-01-12
OP926009,Influenza A virus,2022-12-07,partial,4,Philippines,2015-08-03
MW467333,Influenza A virus,2021-01-18,partial,4,China,2018-05-08
PV161226,Influenza A virus,2025-02-21,partial,7,USA,2024-12-04
OP098550,Influenza A virus,2022-08-02,partial,7,USA,2022-04-12
EF041643,Influenza B virus (B/Taiwan/01026/05),2007-05-07,partial,,Taiwan,
DQ017299,Influenza A virus (A/chicken/Phetchabun-2-01/2004(H5N1)),2005-05-29,partial,,Thailand,
PQ706273,Influenza A virus,2024-12-06,partial,4,USA,2022-09-14
KX916077,Influenza A virus (A/Wisconsin/68/2016(H1N1)),2016-10-10,partial,5,USA,2016-04-05
OR008063,Influenza A virus,2023-05-24,partial,5,USA,2023-03-05
OQ737182,Influenza A virus,2023-04-09,partial,5,USA,2021-02-17
MH798179,Influenza A virus,2018-09-02,partial,3,USA,2018
MT965551,Influenza A virus,2020-09-09,partial,3,USA,2019-11-29
KX003019,Influenza B virus (B/North Dakota/05/2015),2016-05-21,partial,8,USA,2015-01-04
HB380654,Influenza A virus,2009-06-09,partial,,,
MT020024,Influenza A virus,2020-02-10,partial,8,Viet Nam,2019-08-29
CY115173,Influenza B virus (B/reassortant/NYMC BX-39(Lee/1940 x Hubei-Wujiagang/158/2009)),2012-04-11,partial,1,,
CY178717,Influenza A virus (A/swine/Wisconsin/11/1976(H1N1)),2014-04-22,partial,2,USA,1976
CY143091,Influenza A virus (A/northern pintail/Interior Alaska/9BM12176R0/2009(H3N8)),2013-05-13,partial,7,USA,2009-08-20
PP510116,Influenza A virus,2024-03-26,partial,1,USA,2024-02-03
PV145505,Influenza B virus,2025-02-19,partial,2,USA,2020-02-06
MZ951490,Influenza B virus,2021-09-04,partial,6,USA,2020-02-15
PP557471,Influenza B virus,2024-04-03,partial,2,USA,2024-03-06
KP458360,Influenza A virus (A/Ohio/UR06-0394/2007(H1N1)),2015-06-01,partial,4,USA,2007-02-23
OR012683,Influenza A virus,2023-05-24,partial,8,USA,2023-03-04
KT327398,Influenza A virus (A/night heron/Taiwan/A289/2015(H5N2)),2016-07-31,partial,7,Taiwan,2015-01-19
OL370884,Influenza A virus,2022-03-03,partial,1,Australia,2019-03-28
CY187760,Influenza B virus (B/Japan/3842/2014),2014-06-10,partial,4,Japan,2014-03-10
MW108544,Influenza A virus,2020-10-19,partial,4,China,2016-09-22
KX915130,Influenza A virus (A/Michigan/72/2016(H1N1)),2016-10-10,partial,2,USA,2016-04-06
MT049646,Influenza B virus,2020-02-17,partial,2,USA,2019-11-25
MH233359,Influenza A virus,2018-04-25,partial,4,USA,2018-01-16
CY106558,Influenza A virus (A/Guangdong/SZ2184/2009(H3N2)),2012-10-22,partial,4,China,2009
OP838448,Influenza A virus,2022-11-21,partial,7,USA,2021-11-29
PV092366,Influenza A virus,2025-02-11,partial,5,USA,2023
PQ076193,Influenza A virus,2024-07-30,partial,4,USA,2024-05-14
PP459401,Influenza A virus,2024-03-13,partial,7,USA,2024-01-28
MG916802,Influenza B virus,2018-02-12,partial,7,USA,2017-12-17
CY250442,Influenza A virus (A/Alaska/58/2017(H1N1)),2017-11-13,partial,2,USA,2017-09-02
GQ160530,Influenza A virus (A/Tennessee/05/2009(H1N1)),2009-05-15,partial,8,USA,2009-04-28
ON904975,Influenza A virus,2022-07-07,partial,5,USA,2022-04-11
MN073865,Influenza B virus,2019-06-22,partial,4,USA,2019-04-02
KX615813,Influenza B virus (B/South Carolina/03/2016),2016-08-03,partial,3,USA,2016-03-03
KT388652,Influenza A virus (A/goose/Taiwan/TNO13/2015(H5N8)),2015-12-17,partial,4,Taiwan,2015-01-17
CY245547,Influenza A virus (A/Nebraska/08/2017(H1N1)),2017-10-06,partial,4,USA,2017-09-05
MN074531,Influenza A virus,2019-06-22,partial,7,USA,2019-04-05
PQ712341,Influenza A virus,2024-12-06,partial,8,USA,2023-01-04
KX412097,Influenza A virus (A/Alaska/163/2015(H3N2)),2016-06-25,partial,8,USA,2015-08-04
PQ811256,Influenza A virus,2024-12-27,partial,6,USA,2024-11-19
MK964089,Influenza A virus,2019-05-28,partial,5,Viet Nam,2013-05-24
CY176840,Influenza A virus (A/Netherlands/602-7B2LP3/2009(H1N1)),2014-04-22,partial,3,Netherlands,
PP498664,Influenza A virus,2024-03-23,partial,8,USA,2024-02-09
HQ336780,Influenza A virus (A/Thailand/Siriraj-09/2008(H1N1)),2010-11-10,partial,6,Thailand,2008
MN078613,Influenza A virus,2019-06-23,partial,6,USA,2019-04-15
MG192154,Influenza A virus (A/chicken/Fujian/S1XA35/2017(H9N2)),2017-11-01,partial,7,China,2017-03
MW109715,Influenza A virus,2020-10-19,partial,7,China,2018-01-11
CY051681,Influenza A virus (A/New York/4747/2009(H1N1)),2009-11-18,partial,6,USA,2009-07-30
PV149601,Influenza A virus,2025-02-20,partial,8,USA,2024-11-23
PQ260372,Influenza A virus,2024-08-30,partial,7,USA,2024-05-26
CY216906,Influenza A virus (A/California/01/2017(H1N1)),2017-02-17,partial,5,USA,2017-01-04
OR009065,Influenza A virus,2023-05-24,partial,1,USA,2022-11-11
PP506448,Influenza B virus,2024-03-25,partial,8,USA,2023-05-24
CY258916,Influenza A virus (A/New York/A-WC-LVD-16-018/2016(H1N1)),2017-12-08,partial,5,USA,2016-03-11
CY040334,Influenza A virus (A/Hong Kong/HKU53/2005(H3N2)),2009-05-18,partial,8,Hong Kong,2005-04-21
PP811425,Influenza A virus,2024-05-22,partial,5,USA,2024-03-19
MW772925,Influenza A virus,2022-12-30,partial,6,Brazil,2019-10-02
CY144581,Influenza A virus (A/ruddy turnstone/New Jersey/1148676/2004(H5N7)),2013-05-14,partial,6,USA,2004-05-17
MW098996,Influenza A virus,2020-10-19,partial,5,China,2018-07-23
CY225868,Influenza B virus (B/Connecticut/10/2017),2017-04-12,partial,2,USA,2017-01-24
CY022775,Influenza A virus (A/environment/New York/11678-1/2005(H7N2)),2007-06-27,partial,6,USA,2005-02-02
OQ838061,Influenza A virus,2024-03-05,partial,2,USA,2019-01-29
CY172246,Influenza A virus (A/New York/1010/2006(H3N2)),2014-04-10,partial,1,USA,2006-01-13
KY131072,Influenza A virus (A/glaucous-winged gull/Alaska/544/2013(H13N2)),2017-03-21,partial,4,USA,2013-09-18
OR201375,Influenza A virus,2023-07-03,partial,4,USA,2023-02-28
OL371297,Influenza A virus,2022-03-03,partial,6,Australia,2017-01-24
KP413760,Influenza A virus (A/chicken/Huzhou/3916/2013(H7N3)),2015-03-06,partial,6,China,2013-10-24
CY014787,Influenza A virus (A/turkey/Minnesota/1/1988(H7N9)),2006-09-21,partial,7,USA,1988-07-13
OR749782,Influenza A virus,2023-11-04,partial,3,USA,2023-06-02
CY146091,Influenza A virus (A/ruddy turnstone/New Jersey/AI09-618/2009(H1N9)),2013-05-14,partial,2,USA,2009-05-26
AB450523,Influenza A virus (A/duck/Angthong/NIAH8246/2004(H5N1)),2008-10-30,partial,,Thailand,
JX401312,Influenza A virus (A/Milano/136/2006(H3N2)),2013-09-01,partial,4,Italy,2006-04-20
OR750159,Influenza B virus,2023-11-04,partial,7,USA,2023-08-22
KU042442,Influenza A virus (A/chicken/Zhejiang/C46/2013(H9N2)),2015-12-09,partial,7,China,2013-10-16
KP865921,Influenza A virus (A/chicken/Shanghai/96/2009(H9N2)),2016-02-29,partial,1,China,2009-12-02
CY025776,Influenza A virus (A/Florida/UR06-0280/2007(H1N1)),2007-09-17,partial,3,USA,2007-02-14
PQ109661,Influenza A virus,2024-08-04,partial,2,USA,2024-05-22
CY005092,Influenza A virus (A/mallard/ALB/114/1999(H7N9)),2006-01-26,partial,5,Canada,1999-08-04
MN937969,Influenza A virus,2020-01-19,partial,5,USA,2018-05-03
CY178673,Influenza A virus (A/blue-winged teal/Wisconsin/333/1981(H6N6)),2014-04-22,partial,6,USA,1981
CY198283,Influenza B virus (B/Christchurch/1/2013),2016-02-24,partial,6,New Zealand,2013-01-18
CY116467,Influenza A virus (A/swine/Italy/151672-3/2003(H1N1)),2012-09-15,partial,5,Italy,2003
OQ461057,Influenza A virus,2023-02-26,partial,8,USA,2022-11-28
CY126515,Influenza A virus (A/shorebird/Delaware Bay/173/1999(mixed)),2012-11-23,partial,4,USA,1999-05-24
CY058961,Influenza A virus (A/Shandong/2/1984(H1N1)),2010-04-04,partial,7,China,1984
CY027443,Influenza A virus (A/Ohio/UR06-0121/2007(H1N1)),2007-10-31,partial,4,USA,2007-01-30
PP431949,Influenza B virus,2024-03-09,partial,6,USA,2024-01-24
CY166868,Influenza A virus (A/mallard/Wisconsin/11OS3161/2011(H3N2)),2014-03-24,partial,8,USA,2011-09-24
MH706535,Influenza B virus,2018-08-07,partial,6,Japan,2017-11-27
MH125598,Influenza A virus,2018-04-01,partial,8,USA,2018-01-12
KX612000,Influenza B virus (B/Washington/40/2016),2016-08-03,partial,8,USA,2016-02-19
MN083449,Influenza A virus,2019-06-25,partial,1,USA,2019-04-08
MW626297,Influenza A virus,2021-02-23,partial,8,USA,2020-03-16
KT828034,Influenza A virus (A/swine/Kentucky/14TOSU24012/2014(H3N2)),2015-10-21,partial,3,USA,2014
PP633323,Influenza A virus,2024-04-16,partial,1,USA,2023-12-19
MH450035,Influenza A virus,2018-06-12,partial,5,USA,2016-01-27
CY069824,Influenza A virus (A/England/250/2009(H1N1)),2012-09-17,partial,7,United Kingdom,2009-05-04
DM080352,Influenza A virus,2009-04-21,partial,,,
OR494295,Influenza B virus,2024-07-17,partial,6,USA,2023-03-25
CY102834,Influenza A virus (A/shorebird/Delaware Bay/148/2005(H3N6)),2011-11-16,partial,7,USA,2005-05-19
MT029644,Influenza B virus,2020-02-12,partial,1,USA,2019-11-20
KP767994,Influenza A virus (A/goose/Anhui/A1387/2014(N2)),2016-02-05,partial,6,China,2014-04-22
CY093361,Influenza A virus (A/Arizona/WRAIR1562P/2009(H3N2)),2011-07-15,partial,6,USA,2009-03-01
PQ693642,Influenza A virus,2024-12-06,partial,2,USA,2019-01-27
KX406259,Influenza A virus (A/Texas/20/2016(H1N1)),2016-06-25,partial,4,USA,2016-01-24
OQ664621,Influenza A virus,2023-03-26,partial,1,USA,2022-12-07
MT272431,Influenza A virus,2021-05-01,partial,6,India,2015-12-02
CY170601,Influenza A virus (A/Santa Clara/YGA_03020/2013(H3N2)),2014-04-10,partial,6,USA,2013-01-20
OQ960645,Influenza A virus,2023-08-23,partial,5,USA,2022-02-22
MF955547,Influenza B virus (B/Hong Kong/CUHK20636/2000),2018-08-31,partial,4,Hong Kong,2000-01
OP213230,Influenza A virus,2022-08-17,partial,7,USA,2022-05-08
MK637178,Influenza A virus,2019-03-20,partial,2,USA,2014-05-21
CY008571,Influenza A virus (A/Canterbury/205/2005(H3N2)),2006-02-08,partial,1,New Zealand,2005-07-22
MK913128,Influenza A virus,2019-05-18,partial,6,South Korea,2019-03-05
MW126964,Influenza B virus,2022-11-30,partial,3,Thailand,2018-12-18
CY155101,Influenza B virus (B/Victoria/305/2004),2013-10-15,partial,5,Australia,2004-10-03
OR874886,Influenza A virus,2023-12-03,partial,8,Kenya,2011-02-23
KP864168,Influenza B virus (B/British Columbia/07/2014),2015-03-28,partial,4,Canada,2014-03-07
KX615148,Influenza B virus (B/New Mexico/08/2016),2016-08-03,partial,2,USA,2016-02-20
CY081640,Influenza A virus (A/swine/Nebraska/00176/2003(H1)),2011-06-24,partial,4,USA,2003-08-15
MN865999,Influenza A virus,2021-12-19,partial,1,China,2014-03-05
PQ080945,Influenza B virus,2024-07-30,partial,1,USA,2024-03-24
CY237574,Influenza B virus (B/Florida/29/2017),2017-07-12,partial,7,USA,2017-04-26
ON370445,Influenza A virus,2022-05-03,partial,2,USA,2021-12-24
MT540696,Influenza A virus,2021-05-28,partial,7,China,2014-03-01
PQ827702,Influenza A virus,2025-01-03,partial,5,USA,2024-12-05
OP775635,Influenza A virus,2022-12-31,partial,2,USA,2022-04-16
CY243476,Influenza A virus (A/Hawaii/37/2017(H3N2)),2017-09-11,partial,1,USA,2017-07-25
PQ101330,Influenza A virus,2024-08-03,partial,3,USA,2023-10-21
MN569839,Influenza A virus,2019-10-21,partial,4,Australia,2017-08-15
CY044272,Influenza A virus (A/Hong Kong/1-1-MA-20/1968(H3N2)),2009-08-21,partial,5,Hong Kong,1968
PP801616,Influenza A virus,2024-05-21,partial,5,USA,2022-06-02
PP193102,Influenza A virus,2024-01-28,partial,7,USA,2023-12-22
CY256291,Influenza A virus (A/California/104/2017(H3N2)),2017-11-20,partial,2,USA,2017-10-22
KY045207,Influenza A virus (A/New Jersey/10/2016(H1N1)),2016-11-05,partial,5,USA,2016-02-29
MH597507,Influenza A virus,2018-07-16,partial,8,USA,2001-05-18
MH346562,Influenza A virus,2019-05-08,partial,7,Chile,2017-06-27
PV084777,Influenza A virus,2025-02-10,partial,8,Canada,2024-08-21
HB379194,Influenza A virus,2009-06-09,partial,,,
KC296281,Influenza A virus (A/equine/Newmarket/1/1993(H3N8)),2013-03-30,partial,4,United Kingdom,1993
MK382140,Influenza A virus,2019-01-14,partial,5,USA,2018-01-30
OR861366,Influenza A virus,2023-12-02,partial,3,USA,2022
LC123737,Influenza C virus (C/Yamagata/7/81),2016-07-01,partial,5,Japan,1981-03-18
MK839566,Influenza A virus,2019-04-30,partial,1,South Korea,2019-01-15
CY140078,Influenza A virus (A/mallard/Minnesota/Sg-00680/2008(mixed)),2013-04-26,partial,4,USA,2008-08-03
PQ638020,Influenza A virus,2024-11-25,partial,1,USA,2022-11-25
PP687177,Influenza A virus,2024-04-23,partial,6,USA,2024-01-02
MH130831,Influenza B virus,2018-04-02,partial,8,USA,2017-12-24
CY147400,Influenza A virus (A/Melbourne/JY2/1935(H1N1)),2013-07-12,partial,6,Australia,1935
MK869635,Influenza A virus,2019-05-07,partial,4,USA,2019-01-19
MN074103,Influenza A virus,2019-06-22,partial,8,USA,2019-04-08
MW839646,Influenza A virus,2021-07-31,partial,5,USA,2016-08-15
MW513612,Influenza A virus,2021-01-30,partial,7,USA,2016-10-13
KM070138,Influenza A virus (A/Singapore/H2013.718a/2013(H3N2)),2014-08-30,partial,8,Singapore,2013-09-19
PQ717564,Influenza A virus,2024-12-06,partial,7,USA,2022-03-22
KT181650,Influenza A virus (A/Singapore/DMS1166/2011(H1N1)),2015-08-01,partial,7,Singapore,2011-01-11
MK536179,Influenza A virus,2019-02-24,partial,8,USA,2017-06-01
CY223237,Influenza A virus (A/Utah/12/2017(H3N2)),2017-03-24,partial,4,USA,2017-02-25
DM087802,Influenza A virus,2009-04-21,partial,,,
OP086564,Influenza A virus,2022-08-01,partial,5,USA,2022-01-25
EU097911,Influenza A virus (A/Wyoming/03/2003(H3N2)),2008-03-26,partial,,,
KT855043,Influenza B virus (B/Kentucky/04/2015),2015-10-11,partial,6,USA,2015-03-03
MH498592,Influenza A virus,2019-05-29,partial,7,Egypt,2017-01-03
MT638211,Influenza A virus,2020-06-23,partial,6,Italy,2019-02-21
CY090428,Influenza A virus (A/India/P077596/2007(H1N1)),2012-05-21,partial,4,India,2007-07-23
OR084948,Influenza A virus,2023-06-10,partial,4,India,2023-02-04
KP996567,Influenza A virus (A/swine/Iowa/A01840762/2015(H1N2)),2015-04-25,partial,7,USA,2015-02-13
PV160140,Influenza A virus,2025-02-21,partial,1,USA,2024-12-09
OR285823,Influenza A virus,2023-07-22,partial,2,USA,2022-11-10
MT168729,Influenza A virus,2020-03-15,partial,8,USA,2019-12-26
PP699521,Influenza A virus,2024-04-24,partial,5,USA,2024-01-07
MH126758,Influenza A virus,2018-04-01,partial,7,USA,2018-02-01
PQ638270,Influenza A virus,2024-11-25,partial,6,USA,2023-03-25
OQ367021,Influenza A virus,2023-02-07,partial,6,Germany,2022-12-28
PQ891631,Influenza A virus,2025-01-16,partial,4,USA,2024-12-17
CY150004,Influenza B virus (B/Wellington/16/2008),2013-10-15,partial,3,New Zealand,2008-07-23
OX416392,Influenza A virus,2023-01-25,partial,5,United Kingdom,2023-01
OP973822,Influenza A virus,2022-12-13,partial,1,USA,2022-03-29
KT866035,Influenza B virus (B/Florida/38/2015),2015-10-11,partial,4,USA,2015-04-21
FN400417,Influenza A virus (A/equine/Newmarket/1/1993(H3N8)),2010-05-13,partial,4,,
GN356937,Influenza A virus,2009-05-12,partial,,,
JX523354,Influenza A virus (A/quail/Thailand/CU-J3293/2010(H7N1)),2013-02-01,partial,4,Thailand,2010-04
OR479212,Influenza A virus,2023-08-29,partial,7,USA,2022-12-15
PP234014,Influenza A virus,2024-02-04,partial,3,USA,2023-12-15
MN976843,Influenza A virus,2020-01-28,partial,8,USA,2019-11-27
MK745042,Influenza A virus,2019-04-10,partial,6,USA,2018-12-27
HQ141899,Influenza A virus (A/duck/Eastern China/36/2002(H11N2)),2012-08-19,partial,8,China,2002
CY061212,Influenza A virus (A/New York/6771/2009(H1N1)),2010-04-13,partial,7,USA,2009-12-07
CY240832,Influenza A virus (A/environment/New Jersey/UGAI16-0787/2016(H16N3)),2017-08-18,partial,8,USA,2016-05-27
CY122009,Influenza A virus (A/mallard/Sweden/6/2002(H2N3)),2012-06-22,partial,6,Sweden,2002
CY087303,Influenza A virus (A/Hong Kong/433436/2009(H1N1)),2011-03-16,partial,4,Hong Kong,2009
OR746563,Influenza A virus,2023-11-04,partial,7,USA,2023-05-22
CY142398,Influenza A virus (A/northern pintail/Interior Alaska/9BM11358R1/2009(H10N7)),2013-05-13,partial,8,USA,
OQ959015,Influenza A virus,2023-08-23,partial,7,USA,2022-03-26
CY178307,Influenza A virus (A/duck/Wisconsin/2385/1985(H10N3)),2014-04-22,partial,3,USA,1985
OQ667023,Influenza A virus,2023-03-26,partial,3,USA,2022-12-16
PQ895969,Influenza A virus,2025-01-19,partial,8,USA,2023-04-10
PP557808,Influenza A virus,2024-04-03,partial,1,USA,2024-03-03
OL371143,Influenza A virus,2022-03-03,partial,4,Australia,2016-03-05
CY182609,Influenza B virus (B/Nicaragua/AGB2-37/2012),2014-05-09,partial,4,Nicaragua,2012-10-14
MK577175,Influenza A virus,2019-03-05,partial,3,USA,2019-01-07
PQ707063,Influenza A virus,2024-12-06,partial,2,USA,2022-05-16
CY050518,Influenza A virus (A/New York/3066/2009(H3N2)),2009-11-17,partial,6,USA,2009-04-28
OM320149,Influenza A virus,2022-01-25,partial,5,USA,2021-08-04
CY122037,Influenza A virus (A/mallard/Sweden/109/2002(H2N7)),2012-06-25,partial,2,Sweden,2002
PQ698386,Influenza A virus,2024-12-06,partial,3,USA,2020-01-29
OR136520,Influenza A virus,2023-06-20,partial,8,USA,2023-03-05
CY170360,Influenza A virus (A/Boston/YGA_02041/2013(H3N2)),2014-04-10,partial,7,USA,2013-01-21
CY090339,Influenza A virus (A/India/D0635417/2005(H1N1)),2012-05-21,partial,4,India,2005-12-07
PQ082383,Influenza B virus,2024-07-30,partial,7,USA,2023-12-16
PV159724,Influenza A virus,2025-02-21,partial,1,USA,2024-12-30
KY044875,Influenza A virus (A/Texas/160/2016(H1N1)),2016-11-05,partial,4,USA,2016-03-28
MK362661,Influenza A virus,2020-01-31,partial,8,Germany,2009-07-18
CY076784,Influenza A virus (A/Ontario/152846/2009(H1N1)),2010-11-08,partial,1,Canada,2009-06-04
